sex,age,address,Medu,Fedu,Mjob,Fjob,studytime,failures,famsup,tuition,internet,freetime,goout,health,absences,G3,Pass/fail
M,17,U,4,4,services,teacher,1,0,no,no,yes,2,3,5,4,16,pass
M,16,R,3,3,teacher,other,1,0,yes,yes,yes,3,4,3,8,10,pass
Girl,17,U,4,4,services,teacher,1,1,yes,yes,yes,2,4,2,24,18,pass
F,16,U,4,4,teacher,teacher,2,0,yes,yes,yes,5,2,3,0,10,pass
F,16,U,4,3,health,other,2,0,yes,yes,yes,3,5,2,2,16,pass
F,16,U,2,3,other,other,2,0,yes,yes,no,4,3,4,6,10,pass
F,17,U,1,1,other,other,2,0,yes,yes,no,4,4,1,4,10,pass
F,17,R,2,2,other,other,1,0,yes,yes,yes,3,2,3,18,6,fail
F,16,R,2,2,services,services,4,0,yes,yes,yes,3,5,5,6,11,pass
F,17,U,3,4,at_home,services,3,1,yes,yes,yes,4,3,5,28,9,pass
F,16,U,3,1,services,other,2,3,yes,yes,yes,3,3,4,5,7,fail
F,16,U,4,3,teacher,other,2,0,no,no,yes,3,2,1,10,13,pass
Man,16,U,1,1,at_home,other,1,0,yes,yes,no,3,2,5,6,10,pass
F,17,R,4,3,teacher,other,3,0,yes,yes,yes,4,2,4,6,7,fail
F,19,U,3,3,other,other,4,0,yes,yes,yes,3,3,3,10,8,fail
M,17,U,4,4,services,other,2,0,yes,yes,yes,3,5,3,13,13,pass
F,16,U,2,2,other,other,2,0,yes,yes,yes,3,4,4,0,14,pass
M,18,U,2,2,services,other,2,1,yes,yes,yes,4,4,5,15,8,fail
F,17,R,4,4,services,other,1,0,yes,yes,no,2,1,3,12,10,pass
F,17,U,3,2,other,other,2,0,no,no,yes,4,4,1,2,15,pass
F,17,U,4,3,other,other,2,2,no,no,yes,4,5,1,22,4,fail
M,18,U,3,3,services,health,2,1,yes,yes,yes,2,4,4,13,8,fail
F,17,U,2,3,at_home,other,1,0,yes,yes,no,3,3,3,3,8,fail
F,17,U,2,2,at_home,at_home,3,0,yes,yes,yes,3,3,4,4,10,pass
Female,17,R,2,1,at_home,services,2,0,yes,yes,yes,2,5,5,2,6,fail
F,17,U,1,1,at_home,other,3,1,yes,yes,no,3,4,5,0,0,fail
F,16,U,2,3,services,teacher,2,0,no,no,yes,3,1,3,2,17,pass
M,18,U,2,2,other,other,2,0,yes,yes,yes,3,3,4,0,13,pass
F,16,U,4,4,teacher,services,3,0,yes,yes,yes,3,2,5,0,14,pass
F,18,R,3,1,other,other,2,1,no,no,yes,3,3,4,16,7,fail
F,17,U,3,2,other,other,2,0,no,no,yes,3,4,3,10,15,pass
M,17,U,2,3,services,services,2,0,yes,yes,yes,3,3,3,2,12,pass
M,18,U,2,1,at_home,other,2,0,yes,yes,yes,3,2,3,14,9,pass
F,17,U,2,1,other,other,3,0,no,no,yes,2,3,3,10,12,pass
F,17,U,4,3,health,other,2,0,no,no,yes,2,3,3,14,14,pass
M,17,R,2,2,other,other,2,0,yes,yes,yes,5,2,1,4,11,pass
M,17,U,4,4,teacher,teacher,2,0,yes,yes,yes,5,5,2,14,9,pass
M,16,U,4,4,health,other,2,0,yes,yes,yes,2,4,1,2,13,pass
M,16,U,1,1,other,other,2,0,yes,yes,yes,4,2,5,18,6,fail
M,16,U,3,2,at_home,other,3,0,no,no,yes,3,3,2,10,10,pass
M,17,U,2,2,other,other,2,0,no,no,yes,4,2,4,4,13,pass
F,16,U,2,1,other,other,1,0,no,no,yes,5,2,5,20,12,pass
F,17,R,2,1,at_home,services,2,0,no,no,no,1,1,3,2,11,pass
M,18,U,2,2,other,services,2,1,no,no,yes,5,4,2,0,0,fail
M,17,U,4,3,health,other,2,0,no,no,yes,5,5,5,14,12,pass
M,17,R,4,4,teacher,other,2,0,yes,yes,yes,3,3,4,2,12,pass
M,16,U,4,3,teacher,other,1,0,no,no,yes,4,5,3,0,0,fail
M,16,U,4,4,services,services,1,0,no,no,yes,3,2,5,0,12,pass
F,18,U,2,1,other,other,3,0,yes,yes,yes,4,4,3,0,0,fail
M,16,U,2,1,other,other,1,0,no,no,yes,3,3,4,6,18,pass
M,17,U,2,3,other,other,1,0,no,no,yes,2,2,2,4,13,pass
M,22,U,3,1,services,services,1,3,no,no,yes,4,5,1,16,8,fail
M,18,R,3,3,other,services,2,1,yes,yes,yes,3,3,5,8,5,fail
M,16,U,0,2,other,other,1,0,no,no,yes,3,2,5,0,15,pass
M,18,U,3,2,services,other,1,1,no,no,yes,4,5,5,0,8,fail
M,16,U,3,3,at_home,other,2,0,yes,yes,yes,3,3,2,6,10,pass
M,18,U,2,1,services,services,1,1,no,no,yes,2,5,5,4,8,fail
M,16,R,2,1,other,other,1,0,no,no,no,3,2,3,0,8,fail
M,17,R,2,1,other,other,1,0,no,no,yes,4,2,5,0,12,pass
M,17,U,1,1,health,other,1,1,yes,yes,yes,4,4,5,2,8,fail
F,17,U,4,2,teacher,services,4,0,yes,yes,yes,2,3,4,6,13,pass
M,19,U,4,3,services,at_home,2,0,yes,yes,yes,3,1,1,12,11,pass
M,18,U,2,1,other,other,2,0,no,no,yes,2,4,4,8,14,pass
F,17,U,2,2,services,services,4,0,no,no,yes,4,1,2,0,0,fail
F,18,U,4,3,services,other,2,0,yes,yes,yes,1,2,2,21,18,pass
M,18,U,4,3,teacher,other,2,0,yes,yes,yes,3,2,3,2,8,fail
M,18,R,3,2,other,other,3,0,no,no,no,3,2,3,1,12,pass
F,17,U,3,3,other,other,3,0,no,no,no,2,3,4,4,9,pass
F,18,U,2,2,at_home,services,3,0,yes,yes,yes,3,3,3,0,0,fail
M,18,R,3,4,other,other,2,0,yes,yes,yes,2,5,1,13,17,pass
M,17,U,3,1,services,other,2,0,no,no,yes,4,4,5,2,10,pass
F,18,R,4,4,teacher,other,2,0,no,no,yes,3,4,4,8,11,pass
M,18,U,4,2,health,other,2,0,yes,yes,yes,4,5,5,10,10,pass
F,18,R,2,1,other,other,2,0,yes,yes,yes,3,5,3,0,0,fail
F,19,U,3,3,other,services,2,2,yes,yes,yes,3,5,5,15,9,pass
F,18,U,2,3,other,services,4,0,yes,yes,yes,5,5,2,4,14,pass
F,18,U,1,1,other,other,2,0,yes,yes,no,4,3,3,2,11,pass
M,17,R,1,2,at_home,at_home,2,0,yes,yes,no,5,2,1,2,14,pass
F,17,U,2,4,at_home,health,2,0,yes,yes,yes,3,3,1,2,10,pass
F,17,U,2,2,services,other,2,0,yes,yes,yes,4,4,5,6,12,pass
F,18,R,3,2,other,services,2,0,no,yes,yes,1,1,5,75,9,pass
M,18,U,4,4,teacher,services,1,0,no,yes,yes,2,4,3,22,9,pass
F,18,U,4,4,health,health,2,1,yes,yes,yes,4,4,4,15,8,fail
M,18,U,4,3,teacher,services,1,0,no,no,yes,2,3,1,8,10,pass
M,17,U,4,1,services,other,1,0,no,no,yes,5,4,5,30,8,fail
M,17,U,3,2,teacher,services,1,1,no,no,yes,4,4,3,19,10,pass
F,18,R,1,1,at_home,other,4,0,yes,yes,no,2,2,3,1,12,pass
F,18,U,1,1,other,other,2,0,no,no,yes,4,4,4,4,10,pass
F,17,U,2,2,other,other,2,0,yes,yes,yes,4,5,5,4,11,pass
M,17,U,1,1,other,other,2,0,no,no,yes,3,3,4,2,11,pass
F,18,U,2,2,at_home,at_home,3,0,yes,yes,yes,3,3,2,5,19,pass
F,17,U,1,1,services,teacher,3,0,yes,yes,yes,3,3,3,6,12,pass
M,18,U,2,1,services,services,3,0,no,no,yes,2,4,2,6,14,pass
M,18,U,4,4,teacher,teacher,2,0,yes,yes,yes,4,3,2,9,15,pass
M,18,U,4,2,teacher,other,2,0,yes,yes,yes,3,2,5,11,11,pass
F,17,U,4,3,health,services,3,0,yes,yes,yes,2,2,3,0,15,pass
F,18,U,2,1,services,at_home,2,1,no,no,yes,4,3,5,12,13,pass
F,17,R,3,1,services,other,4,0,yes,yes,no,1,2,3,6,18,pass
M,18,R,3,2,services,other,3,0,yes,yes,yes,4,2,4,8,14,pass
M,17,U,3,3,health,other,1,0,yes,yes,yes,4,3,5,4,11,pass
F,19,U,4,4,health,other,2,0,yes,yes,yes,3,4,2,0,0,fail
F,18,U,4,3,other,other,2,0,yes,yes,yes,4,5,2,10,8,fail
F,18,U,4,3,other,other,4,0,yes,yes,yes,3,3,3,0,14,pass
M,18,U,4,4,teacher,teacher,1,0,yes,yes,yes,4,2,1,5,16,pass
F,18,U,4,4,health,other,2,0,yes,yes,yes,2,4,4,14,11,pass
M,17,U,4,4,other,teacher,1,0,no,no,yes,1,1,5,0,10,pass
F,17,U,4,2,other,other,3,0,yes,yes,yes,3,3,3,0,14,pass
F,17,U,3,2,health,health,4,0,yes,yes,yes,2,2,5,0,18,pass
M,19,U,3,3,other,other,2,1,yes,yes,yes,4,4,3,20,13,pass
F,18,U,2,4,services,at_home,2,1,yes,yes,yes,4,3,3,8,12,pass
M,20,U,3,2,services,other,1,0,no,no,no,5,3,5,0,18,pass
M,19,U,4,4,teacher,services,1,1,yes,yes,yes,3,4,4,38,8,fail
M,19,R,3,3,other,services,2,1,no,no,no,5,3,5,0,12,pass
F,19,U,1,1,at_home,other,2,1,yes,yes,yes,4,3,3,18,10,pass
F,19,U,1,2,services,services,2,1,no,no,no,2,4,3,0,0,fail
F,19,U,2,1,at_home,other,2,0,yes,yes,yes,4,1,2,20,13,pass
M,19,U,1,2,other,services,2,1,no,no,yes,5,2,4,3,11,pass
F,19,U,3,2,services,other,2,1,yes,yes,yes,2,2,1,22,11,pass
F,19,U,1,1,at_home,health,3,2,no,no,yes,1,2,3,14,13,pass
F,19,R,2,3,other,other,3,1,no,no,yes,1,2,3,40,11,pass
F,18,U,2,1,services,other,2,0,yes,yes,yes,3,3,1,0,0,fail
F,18,U,4,3,other,other,3,0,yes,yes,yes,3,4,5,9,9,pass
F,17,R,3,4,at_home,services,3,0,yes,yes,yes,3,4,5,0,10,pass
F,18,U,4,4,teacher,other,2,0,yes,yes,yes,4,4,5,2,11,pass
F,17,U,4,3,services,services,2,0,yes,yes,yes,2,2,5,23,13,pass
F,17,U,2,2,other,other,2,0,yes,yes,no,2,2,3,12,9,pass
F,17,R,2,2,services,services,3,0,yes,yes,yes,3,2,3,3,11,pass
F,17,U,3,1,services,services,3,0,yes,yes,yes,4,3,5,1,15,pass
F,17,U,0,2,at_home,at_home,3,0,no,no,yes,3,3,2,0,15,pass
M,18,U,4,4,other,other,3,0,no,no,yes,3,3,3,3,11,pass
M,17,U,3,3,other,services,1,0,no,no,yes,3,5,5,3,16,pass
M,17,R,2,2,services,other,1,0,yes,yes,yes,4,5,4,8,10,pass
F,17,U,4,4,teacher,services,3,0,yes,no,yes,4,4,4,7,9,pass
F,17,U,4,4,teacher,teacher,3,0,yes,no,yes,3,3,4,4,14,pass
M,18,U,2,2,other,other,4,0,yes,no,yes,5,5,5,2,8,fail
F,17,R,2,4,at_home,other,3,0,yes,no,yes,4,3,5,7,14,pass
F,18,U,3,3,services,services,2,0,no,no,yes,3,4,4,0,0,fail
F,18,U,2,2,other,other,2,0,no,no,yes,3,3,2,0,0,fail
F,18,R,2,2,at_home,other,4,0,no,no,no,4,4,4,0,0,fail
F,17,U,3,4,services,other,3,0,no,no,yes,4,5,5,16,15,pass
F,19,R,3,1,services,at_home,3,1,no,no,no,4,3,5,12,13,pass
F,17,U,3,2,other,other,2,0,yes,yes,yes,3,2,2,0,0,fail
F,18,U,3,3,services,services,4,0,yes,yes,yes,3,3,1,7,17,pass
F,17,R,3,2,other,other,2,0,yes,yes,yes,3,3,2,4,10,pass
F,19,U,2,1,services,services,3,1,no,no,yes,3,4,3,4,11,pass
M,18,U,4,4,teacher,services,2,1,yes,yes,yes,3,3,2,0,0,fail
M,18,U,3,4,services,other,2,0,no,no,yes,3,3,5,11,15,pass
F,17,U,2,2,at_home,at_home,2,1,yes,yes,yes,3,1,4,0,0,fail
F,18,U,2,3,at_home,other,3,0,yes,yes,yes,3,3,3,4,10,pass
F,18,U,3,2,other,services,3,0,no,no,yes,4,3,1,7,14,pass
M,18,R,4,3,teacher,services,3,0,no,no,yes,3,2,4,9,16,pass
M,18,U,4,3,teacher,other,3,0,yes,yes,yes,4,5,5,0,9,pass
F,17,U,4,3,health,other,3,0,yes,yes,yes,4,3,4,0,15,pass
M,18,R,3,2,other,other,1,1,yes,yes,yes,5,5,5,10,13,pass
M,19,R,1,1,other,services,2,3,no,no,yes,4,4,2,8,8,fail
M,17,U,3,3,health,other,2,0,yes,yes,yes,5,4,3,2,13,pass
M,18,U,1,3,at_home,services,1,1,no,no,yes,3,3,3,7,8,fail
M,19,R,1,1,other,other,1,1,yes,yes,yes,4,4,5,4,8,fail
M,17,R,4,3,services,other,2,0,yes,yes,yes,5,5,2,4,11,pass
F,18,U,3,3,services,services,2,0,yes,yes,no,3,4,5,0,9,pass
F,17,R,4,4,teacher,services,2,0,yes,yes,yes,3,3,5,4,13,pass
F,17,U,3,2,services,other,2,0,no,no,no,2,3,5,2,11,pass
M,18,U,1,1,other,services,1,0,no,no,yes,3,2,3,4,10,pass
F,18,U,1,1,at_home,services,3,0,no,no,yes,3,2,4,0,16,pass
F,18,R,1,4,at_home,other,2,0,no,yes,no,3,4,5,0,13,pass
M,18,R,1,1,at_home,other,2,1,no,yes,no,4,3,5,2,12,pass
F,18,U,3,3,services,services,2,0,yes,yes,yes,3,2,3,0,10,pass
F,17,U,4,4,at_home,at_home,2,0,yes,yes,yes,3,4,1,0,15,pass
F,17,R,1,2,other,services,2,0,no,yes,no,2,2,3,0,12,pass
M,18,R,1,3,at_home,other,2,0,yes,yes,no,3,4,3,4,10,pass
M,18,U,4,4,teacher,services,3,0,no,no,yes,2,2,5,0,13,pass
F,17,R,1,1,other,services,1,1,yes,yes,yes,2,1,1,0,0,fail
F,18,U,2,3,at_home,services,1,0,yes,yes,yes,2,3,4,0,10,pass
F,18,R,4,4,other,teacher,2,0,yes,yes,yes,2,2,5,10,11,pass
F,19,U,3,2,services,services,2,2,no,no,no,2,2,3,4,9,pass
M,18,R,1,2,at_home,services,1,0,yes,yes,yes,3,3,3,3,12,pass
F,17,U,2,2,other,at_home,3,0,no,no,no,4,3,3,8,11,pass
F,17,R,1,2,other,other,1,0,no,no,yes,5,5,1,14,5,fail
F,18,R,4,4,other,other,3,0,no,no,yes,4,4,1,0,19,pass
F,18,R,1,1,other,other,3,0,no,no,yes,3,2,4,2,10,pass
F,20,U,4,2,health,other,3,2,yes,no,yes,4,3,3,4,15,pass
F,18,R,4,4,teacher,services,2,0,no,no,yes,4,3,2,4,10,pass
F,18,U,3,3,other,other,2,0,no,no,yes,1,3,1,0,15,pass
F,17,R,3,1,at_home,other,2,0,yes,no,yes,5,4,1,17,10,pass
M,18,U,4,4,teacher,teacher,2,0,no,no,yes,2,4,2,4,14,pass
M,18,R,2,1,other,other,1,0,no,no,yes,4,3,5,5,7,fail
M,17,U,2,3,other,services,2,0,no,no,yes,4,3,3,2,10,pass
M,19,R,1,1,other,services,1,1,no,no,no,3,2,5,0,0,fail
M,18,R,4,2,other,other,1,1,no,no,no,4,3,3,14,5,fail
F,18,R,2,2,at_home,other,3,0,no,no,no,3,3,4,2,10,pass
F,18,R,4,4,teacher,at_home,1,0,yes,no,yes,4,3,5,7,6,fail
F,19,R,2,3,services,other,3,1,no,no,yes,4,2,5,0,0,fail
F,18,U,3,1,teacher,services,2,0,yes,no,yes,3,4,1,0,8,fail
F,18,U,1,1,other,other,2,1,no,no,no,1,1,5,0,0,fail
M,20,U,2,2,services,services,2,2,yes,no,no,5,4,4,11,9,pass
M,17,U,3,1,services,services,1,0,no,no,yes,4,5,2,3,16,pass
M,21,R,1,1,other,other,1,3,no,no,no,5,3,3,3,7,fail
M,18,R,3,2,services,other,1,0,no,no,yes,4,1,5,0,10,pass
M,19,U,1,1,other,at_home,1,0,no,no,yes,2,3,5,5,9,pass
